,country,HSCode,value,Sections Name,country.1,code
0,AFGHANISTAN TIS,15606,3227.1000000000013,3107,Afghanistan,AFG
1,ALBANIA,5960,541.8499999999998,1166,Albania,ALB
2,ALGERIA,13555,15192.980000000005,2705,Algeria,DZA
3,AMERI SAMOA,4892,91.85000000000008,963,Ameri Samoa,ASM
4,ANDORRA,1234,5.71,242,Andorra,AND
5,ANGOLA,10554,52261.88,2078,Angola,AGO
6,ANGUILLA,661,0.6000000000000001,129,Anguilla,AIA
7,ANTARTICA,1670,7.63,328,Antarctica,ATA
8,ANTIGUA,2996,18.580000000000013,582,Antigua,ATG
9,ARGENTINA,47020,23761.280000000035,9227,Argentina,ARG
10,ARMENIA,8844,125.71000000000005,1749,Armenia,ARM
11,ARUBA,1650,8.129999999999999,325,Aruba,ABW
12,AUSTRALIA,98696,169831.68000000002,19336,Australia,AUS
13,AUSTRIA,87474,12090.950000000032,17109,Austria,AUT
14,AZERBAIJAN,6674,4985.730000000004,1308,Azerbaijan,AZE
15,BAHAMAS,6754,1132.7399999999998,1323,Bahamas,BHS
16,BAHARAIN IS,46630,9866.590000000046,9181,Baharain,BHR
17,BANGLADESH PR,63695,8196.370000000014,12486,Bangladesh,BGD
18,BARBADOS,5197,5.109999999999999,1040,Barbados,BRB
19,BELARUS,24411,2826.869999999999,4792,Belarus,BLR
20,BELGIUM,97653,138635.53,19104,Belgium,BEL
21,BELIZE,6504,27.030000000000033,1253,Belize,BLZ
22,BENIN,12365,3202.800000000001,2468,Benin,BEN
23,BERMUDA,1555,74.63000000000002,302,Bermuda,BMU
24,BHUTAN,16969,3306.450000000001,3352,Bhutan,BTN
25,BOLIVIA,8562,2290.600000000001,1696,Bolivia,BOL
26,BOSNIA-HRZGOVIN,10951,103.38000000000008,2160,Bosnia-Hrzgovin,BIH
27,BOTSWANA,5089,6353.26,1019,Botswana,BWA
28,BR VIRGN IS,7393,54.46000000000002,1434,Br Virgn Is,VGB
29,BRAZIL,79891,51389.900000000016,15703,Brazil,BRA
30,BRUNEI,9275,7068.040000000007,1825,Brunei,BRN
31,BULGARIA,48779,1505.7799999999945,9529,Bulgaria,BGR
32,BURKINA FASO,3665,2645.74,744,Burkina Faso,BFA
33,BURUNDI,2679,31.0,524,Burundi,BDI
34,C AFRI REP,4548,30.82,910,C Afri Rep,CAF
35,CAMBODIA,18163,292.23,3518,Cambodia,KHM
36,CAMEROON,13780,4142.840000000002,2717,Cameroon,CMR
37,CANADA,96293,46800.69999999987,18806,Canada,CAN
38,CANARY IS,72,0.01,15,Canary Is,Unknown code
39,CAPE VERDE IS,3779,27.360000000000007,753,Cape Verde,CPV
40,CAYMAN IS,1765,228.66,345,Cayman Is,CYM
41,CHAD,5084,1541.7799999999993,994,Chad,TCD
42,CHANNEL IS,422,0.6500000000000001,85,Channel Is,Unknown code
43,CHILE,41913,27287.36999999997,8214,Chile,CHL
44,CHINA P RP,109604,708223.5299999997,21417,China,CHN
45,CHRISTMAS IS.,3687,25.31000000000001,722,Christmas Is.,CXR
46,COCOS IS,408,49.03,79,Cocos Is,CCK
47,COLOMBIA,34030,14946.33000000002,6637,Colombia,COL
48,COMOROS,3106,165.46000000000006,621,Comoros,COM
49,CONGO D. REP.,8159,977.78,1603,Congo D. Rep.,COD
50,CONGO P REP,14469,4541.5400000000045,2838,Congo P Rep,COG
51,COOK IS,513,0.18,100,Cook Is,COK
52,COSTA RICA,17389,1559.0099999999975,3420,Costa Rica,CRI
53,COTE D' IVOIRE,18348,6295.550000000007,3641,Cote D' Ivoire,CIV
54,CROATIA,23222,438.0299999999999,4538,Croatia,HRV
55,CUBA,5884,74.57000000000002,1144,Cuba,CUB
56,CYPRUS,30011,1125.8199999999983,5948,Cyprus,CYP
57,CZECH REPUBLIC,73224,7868.800000000016,14312,Czech Republic,CZE
58,DENMARK,85790,8488.17000000003,16770,Denmark,DNK
59,DJIBOUTI,7702,75.18000000000002,1528,Djibouti,DJI
60,DOMINIC REP,16478,2934.660000000001,3236,Dominic Rep, DOM
61,DOMINICA,4728,7.239999999999995,929,Dominica,DMA
62,ECUADOR,25216,4432.1500000000015,4968,Ecuador,ECU
63,EGYPT A RP,53726,26649.029999999977,10577,Egypt A Rp,EGY
64,EL SALVADOR,8782,94.45999999999998,1729,El Salvador,SLV
65,EQUTL GUINEA,3610,5429.480000000001,719,Equtl Guinea,GNQ
66,ERITREA,4306,467.34,862,Eritrea,ERI
67,ESTONIA,31571,1272.0299999999984,6234,Estonia,EST
68,ETHIOPIA,14775,590.8599999999992,2928,Ethiopia,ETH
69,FALKLAND IS,1001,13.56,203,Falkland Is,FLK
70,FAROE IS.,1485,7.990000000000001,286,Faroe Is.,FRO
71,FIJI IS,5412,37.08,1075,Fiji Is,FJI
72,FINLAND,74367,17784.10000000001,14560,Finland,FIN
73,FR GUIANA,7639,131.44,1497,Fr Guiana,Unknown code
74,FR POLYNESIA,584,0.4000000000000001,116,Fr Polynesia,PYF
75,FR S ANT TR,347,0.18,68,Fr S Ant Tr,Unknown code
76,FRANCE,105735,77246.43000000004,20693,France,FRA
77,GABON,11700,4809.730000000001,2302,Gabon,GAB
78,GAMBIA,7342,485.75,1457,Gambia,GMB
79,GEORGIA,26985,467.7299999999994,5287,Georgia,GEO
80,GERMANY,109048,191902.34000000003,21333,Germany,DEU
81,GHANA,21112,15554.2,4162,Ghana,GHA
